title,genres,averageRating,numVotes,releaseYear
ImMATURE,"Comedy, Drama, Romance","8,6",10649,2019
Merlí,"Comedy, Drama, Romance","8,6",10509,2015
Common Side Effects,"Animation, Comedy, Drama","8,6",10468,2024
Vikings,"Action, Adventure, Drama","8,5",617194,2013
The Queen's Gambit,Drama,"8,5",617005,2020
Modern Family,"Comedy, Drama, Romance","8,5",515762,2009
Mr. Robot,"Crime, Drama, Thriller","8,5",441070,2015
Ozark,"Crime, Drama, Thriller","8,5",369933,2017
Sons of Anarchy,"Crime, Drama, Thriller","8,5",340151,2008
Shameless,"Comedy, Drama","8,5",310807,2011
The Haunting of Hill House,"Drama, Horror, Mystery","8,5",309848,2018
Community,Comedy,"8,5",303375,2009
Hannibal,"Crime, Drama, Horror","8,5",292247,2013
Futurama,"Adventure, Animation, Comedy","8,5",271067,1999
The Bear,"Comedy, Drama","8,5",269558,2022
Spartacus,"Action, Adventure, Biography","8,5",266631,2010
Doctor Who,"Adventure, Drama, Sci-Fi","8,5",257105,2005
Andor,"Action, Adventure, Drama","8,5",205463,2022
Person of Interest,"Action, Crime, Drama","8,5",198065,2011
The Expanse,"Drama, Mystery, Sci-Fi","8,5",183254,2015
The Last Kingdom,"Action, Drama, History","8,5",177997,2015
Silicon Valley,Comedy,"8,5",174480,2014
The IT Crowd,Comedy,"8,5",171008,2006
Schitt's Creek,Comedy,"8,5",161345,2015
Jujutsu Kaisen,"Action, Adventure, Animation","8,5",153953,2020
Spartacus: Gods of the Arena,"Action, Adventure, Biography","8,5",150231,2011
The Office,"Comedy, Drama","8,5",128315,2001
Making a Murderer,"Crime, Documentary","8,5",105959,2015
Neon Genesis Evangelion,"Action, Animation, Drama","8,5",97655,1995
Sacred Games,"Action, Crime, Drama","8,5",95283,2018
Bosch,"Crime, Drama","8,5",89475,2014
Heartstopper,"Drama, Romance","8,5",87002,2022
Louie,"Comedy, Drama","8,5",84126,2010
Twin Peaks,"Crime, Drama, Horror","8,5",83142,2017
Battlestar Galactica,"Action, Adventure, Drama","8,5",83053,2003
Fullmetal Alchemist,"Action, Adventure, Animation","8,5",82105,2003
Dragon Ball,"Action, Adventure, Animation","8,5",72171,1986
Dragon Ball,"Action, Adventure, Animation","8,5",70455,1995
Happy Valley,"Crime, Drama, Thriller","8,5",69499,2014
Derry Girls,Comedy,"8,5",68845,2018
Asur: Welcome to Your Dark Side,"Crime, Drama, Mystery","8,5",68295,2020
Flight of the Conchords,"Comedy, Music, Musical","8,5",68221,2007
M*A*S*H,"Comedy, Drama, War","8,5",66639,1972
Samurai Jack,"Action, Adventure, Animation","8,5",63468,2001
Samurai Champloo,"Action, Adventure, Animation","8,5",59742,2004
Spaced,Comedy,"8,5",59536,1999
Formula 1: Drive to Survive,"Documentary, Sport","8,5",56161,2019
Mob Psycho 100,"Action, Animation, Comedy","8,5",55508,2016
Justice League,"Action, Adventure, Animation","8,5",54799,2001
Trailer Park Boys,"Comedy, Crime","8,5",54704,2001
The Knick,"Drama, History","8,5",54543,2014
Boston Legal,"Comedy, Crime, Drama","8,5",51791,2004
Coupling,"Comedy, Romance","8,5",49224,2000
Whose Line Is It Anyway?,"Comedy, Game-Show","8,5",48014,1998
Your Lie in April,"Animation, Comedy, Drama","8,5",44060,2014
JoJo's Bizarre Adventure,"Action, Adventure, Animation","8,5",43058,2012
The Boondocks,"Action, Animation, Comedy","8,5",38448,2005
North & South,"Drama, Romance","8,5",36722,2004
Borgen,Drama,"8,5",31313,2010
Mumbai Diaries,"Drama, Thriller","8,5",31084,2021
Southland,"Crime, Drama, Thriller","8,5",30107,2009
I Love Lucy,Comedy,"8,5",30002,1951
The Rehearsal,"Comedy, Documentary","8,5",29277,2022
Delhi Crime,"Crime, Drama","8,5",27619,2019
The Railway Men,"Drama, History, Thriller","8,5",26566,2023
Jesus of Nazareth,"Biography, Drama, History","8,5",26425,1977
RuPaul's Drag Race,"Game-Show, Reality-TV","8,5",24658,2009
Kaguya-sama: Love is War,"Animation, Comedy, Romance","8,5",24240,2019
Anne of Green Gables,"Drama, Family","8,5",23656,1985
Queer as Folk,"Drama, Romance","8,5",23255,2000
The Eric Andre Show,"Comedy, Talk-Show","8,5",23207,2012
Inside No. 9,"Comedy, Crime, Drama","8,5",22436,2014
Hostel Daze,"Comedy, Drama","8,5",22001,2019
Queer Eye,Reality-TV,"8,5",21838,2018
Ghost in the Shell: Stand Alone Complex,"Action, Animation, Crime","8,5",21740,2002
Smiling Friends,"Animation, Comedy, Short","8,5",21375,2020
Rurouni Kenshin,"Action, Adventure, Animation","8,5",21297,1996
Garth Marenghi's Darkplace,"Comedy, Fantasy, Horror","8,5",20974,2004
TVF Tripling,"Comedy, Drama","8,5",20934,2016
Kingdom,"Drama, Sport","8,5",20401,2014
Please Like Me,"Comedy, Drama, Romance","8,5",20209,2013
Alfred Hitchcock Presents,"Crime, Drama, Mystery","8,5",20032,1955
Barareh Nights,Comedy,"8,5",19347,2005
Death's Game,"Drama, Fantasy","8,5",18857,2023
Horace and Pete,"Comedy, Drama","8,5",17937,2016
Scenes from a Marriage,Drama,"8,5",17586,1973
Chef's Table,"Biography, Documentary","8,5",17500,2015
Yu Yu Hakusho: Ghost Files,"Action, Adventure, Animation","8,5",17280,1992
Flower of Evil,"Crime, Mystery, Romance","8,5",16815,2020
Detective Conan,"Action, Animation, Comedy","8,5",16607,1996
The Angry Video Game Nerd,"Action, Comedy, Fantasy","8,5",16102,2004
The Defiant Ones,"Biography, Crime, Documentary","8,5",15884,2017
The Prisoner,"Drama, Mystery, Sci-Fi","8,5",15698,1967
House of Cards,Drama,"8,5",15480,1990
Mushi-Shi,"Animation, Drama, Fantasy","8,5",15435,2005
Summer Heights High,"Comedy, Drama, Family","8,5",15382,2007
Pantheon,"Action, Adventure, Animation","8,5",15325,2022
Sixer,"Drama, Sport","8,5",14235,2022
From the Earth to the Moon,"Action, Drama, History","8,5",14091,1998
The Apothecary Diaries,"Animation, Drama, History","8,5",13782,2023
Great Teacher Onizuka,"Animation, Comedy, Drama","8,5",12970,1999
The Prince,"Comedy, History","8,5",12206,2023
Fruits Basket,"Animation, Comedy, Drama","8,5",11249,2019
Move to Heaven,Drama,"8,5",11186,2021
Staged,"Comedy, Drama","8,5",11164,2020
Signal,"Crime, Drama, Fantasy","8,5",10687,2016
The Bugs Bunny/Road Runner Hour,"Animation, Comedy","8,5",10396,1968
RuPaul's Drag Race All Stars,"Game-Show, Reality-TV","8,5",10385,2012
Westworld,"Drama, Mystery, Sci-Fi","8,4",547969,2016
Suits,"Comedy, Drama","8,4",514995,2011
Supernatural,"Drama, Fantasy, Horror","8,4",511806,2005
Brooklyn Nine-Nine,"Comedy, Crime","8,4",393934,2013
The Punisher,"Action, Crime, Drama","8,4",284622,2017
Scrubs,"Comedy, Drama","8,4",277441,2001
Fringe,"Drama, Mystery, Sci-Fi","8,4",264041,2008
Big Little Lies,"Crime, Drama, Mystery","8,4",236180,2017
Cobra Kai,"Action, Comedy, Drama","8,4",230964,2018
"Love, Death & Robots","Action, Adventure, Animation","8,4",214063,2019
Mare of Easttown,"Crime, Drama, Mystery","8,4",205013,2021
24,"Action, Crime, Drama","8,4",202474,2001
The Night Of,"Crime, Drama, Mystery","8,4",182875,2016
Entourage,"Comedy, Drama","8,4",180310,2004
The Heroes,"Animation, Drama, History","8,4",170242,2008
After Life,"Comedy, Drama","8,4",161329,2019
Luther,"Crime, Drama, Mystery","8,4",159202,2010
Naruto,"Action, Adventure, Animation","8,4",146974,2002
Banshee,"Action, Crime, Drama","8,4",135821,2013
Star Wars: The Clone Wars,"Action, Adventure, Animation","8,4",132141,2008
The Americans,"Crime, Drama, Mystery","8,4",117437,2013
Psych,"Comedy, Crime, Mystery","8,4",116189,2006
Normal People,"Drama, Romance","8,4",105031,2020
Stargate SG-1,"Action, Adventure, Drama","8,4",105006,1997
American Crime Story,"Biography, Crime, Drama","8,4",100918,2016
The Inbetweeners,Comedy,"8,4",97888,2008
Star Trek,"Action, Adventure, Drama","8,4",96969,1966
Mirzapur,"Action, Crime, Thriller","8,4",89633,2018
The Good Wife,"Crime, Drama, Mystery","8,4",86275,2009
Ash vs Evil Dead,"Action, Comedy, Horror","8,4",82745,2015
Veep,Comedy,"8,4",68289,2012
Erased,"Animation, Crime, Drama","8,4",66336,2016
Black Books,Comedy,"8,4",63220,2000
Generation Kill,"Drama, War","8,4",61945,2008
Pushing Daisies,"Comedy, Drama, Fantasy","8,4",60840,2007
Utopia,"Drama, Mystery, Sci-Fi","8,4",53602,2013
X-Men,"Action, Adventure, Animation","8,4",52415,1992
Warrior,"Action, Crime, Drama","8,4",50056,2019
The Legend of Vox Machina,"Action, Adventure, Animation","8,4",48972,2022
Carnivàle,"Drama, Fantasy, Mystery","8,4",48169,2003
The Amazing World of Gumball,"Adventure, Animation, Comedy","8,4",47542,2011
Dr. Horrible's Sing-Along Blog,"Comedy, Musical, Sci-Fi","8,4",44658,2008
Top Boy,"Crime, Drama, Thriller","8,4",44531,2011
The Wonder Years,"Comedy, Drama, Family","8,4",42365,1988
Harley Quinn,"Action, Adventure, Animation","8,4",41033,2019
Doctor Who,"Adventure, Drama, Family","8,4",40672,1963
The Colbert Report,"Comedy, News, Talk-Show","8,4",39386,2005
Snowfall,"Crime, Drama","8,4",39120,2017
John Adams,"Biography, Drama, History","8,4",38349,2008
Red Dwarf,"Comedy, Sci-Fi","8,4",38305,1988
Spider-Man: The Animated Series,"Action, Adventure, Animation","8,4",37591,1994
Broad City,Comedy,"8,4",37396,2014
Halt and Catch Fire,Drama,"8,4",36814,2014
Babylon 5,"Action, Adventure, Drama","8,4",35990,1993
Violet Evergarden,"Animation, Drama, Family","8,4",34672,2018
Vincenzo,"Action, Comedy, Crime","8,4",34547,2021
Unforgotten,"Crime, Drama, Mystery","8,4",34452,2015
Bosch: Legacy,"Crime, Drama","8,4",34349,2022
Generation War,"Action, Drama, History","8,4",33994,2013
Life on Mars,"Crime, Drama, Mystery","8,4",33927,2006
Dandadan,"Action, Adventure, Animation","8,4",32732,2024
Babylon Berlin,"Crime, Drama, Thriller","8,4",31879,2017
The Killing,"Crime, Drama, Mystery","8,4",31313,2007
Ethos,Drama,"8,4",30880,2020
Ghosts,"Comedy, Fantasy","8,4",30387,2019
The Dark Crystal: Age of Resistance,"Adventure, Family, Fantasy","8,4",28281,2019
'Allo 'Allo!,"Comedy, History, War","8,4",28056,1982
Inside Look: The People v. O.J. Simpson - American Crime Story,"Documentary, Short","8,4",27592,2016
The Muppet Show,"Comedy, Family, Musical","8,4",27067,1976
Top Gear,Documentary,"8,4",25287,1978
The Mighty Boosh,"Comedy, Fantasy, Musical","8,4",24807,2003
Northern Exposure,"Comedy, Drama","8,4",23403,1990
Invader ZIM,"Action, Adventure, Animation","8,4",23314,2001
My So-Called Life,"Comedy, Drama, Romance","8,4",22663,1994
Police Squad!,"Comedy, Crime","8,4",22193,1982
Doc Martin,"Comedy, Drama, Romance","8,4",21516,2004
Heartland,"Drama, Family","8,4",21273,2007
The Spectacular Spider-Man,"Action, Adventure, Animation","8,4",21186,2008
This Is Going to Hurt,"Biography, Comedy, Drama","8,4",20469,2022
Trollhunters: Tales of Arcadia,"Action, Adventure, Animation","8,4",20458,2016
The New Batman Adventures,"Action, Adventure, Animation","8,4",20294,1997
All in the Family,"Comedy, Drama","8,4",19740,1971
Roots,"Biography, Drama, History","8,4",19554,1977
My Mad Fat Diary,"Comedy, Drama, Romance","8,4",19467,2013
MobLand,"Crime, Drama","8,4",18325,2025
The Andy Griffith Show,"Comedy, Family","8,4",18054,1960
The Ricky Gervais Show,"Animation, Comedy, Talk-Show","8,4",17411,2010
Pachinko,Drama,"8,4",16402,2022
Brassic,"Comedy, Drama","8,4",16173,2019
Weak Hero Class 1,"Action, Drama, Thriller","8,4",15038,2022
Mr Bates vs. The Post Office,"Biography, Drama","8,4",14451,2024
A Small Light,"Biography, Drama, History","8,4",14369,2023
Ranking of Kings,"Action, Adventure, Animation","8,4",13908,2021
The Graham Norton Show,"Comedy, Music, Talk-Show","8,4",13796,2007
Moving,"Action, Adventure, Fantasy","8,4",13708,2023
Jeeves and Wooster,Comedy,"8,4",13519,1990
Like There's No Tomorrow,"Drama, Romance","8,4",13131,2024
Julie and the Phantoms,"Adventure, Comedy, Drama","8,4",13104,2020
Steins;Gate 0,"Animation, Drama, Mystery","8,4",13054,2018
The League of Gentlemen,"Comedy, Horror","8,4",12767,1999
Healer,"Action, Comedy, Crime","8,4",12570,2014
The Dick Van Dyke Show,"Comedy, Family","8,4",12549,1961
Saint Seiya: Knights of the Zodiac,"Action, Adventure, Animation","8,4",11897,1986
The Late Late Show with Craig Ferguson,"Comedy, Music, Talk-Show","8,4",11716,2005
