title,genres,averageRating,numVotes,releaseYear
Vizontele,"Comedy, Drama, History",8,40149,2001
The King of Kong: A Fistful of Quarters,"Biography, Documentary, Sport",8,38155,2007
Sweet Smell of Success,"Drama, Film-Noir",8,38012,1957
Au Revoir les Enfants,"Drama, War",8,37461,1987
The Exterminating Angel,"Drama, Fantasy",8,36958,1962
The Breath,"Action, Drama, Thriller",8,36248,2009
Nobody Knows,Drama,8,33516,2004
The Virgin Spring,Drama,8,32801,1960
Lucky Baskhar,"Crime, Drama, Thriller",8,32531,2024
"Rome, Open City","Drama, Thriller, War",8,32097,1945
A Woman Under the Influence,"Drama, Romance",8,31310,1974
The Blue Elephant,"Crime, Drama, Horror",8,30535,2014
Sirf Ek Bandaa Kaafi Hai,"Crime, Drama, Thriller",8,30395,2023
The Wild Pear Tree,Drama,8,29527,2018
Jodorowsky's Dune,Documentary,8,28767,2013
Winter Light,Drama,8,28271,1963
Viridiana,Drama,8,27167,1961
A Matter of Life and Death,"Drama, Fantasy, Romance",8,26676,1946
Fail Safe,"Drama, Thriller",8,26040,1964
The Ox-Bow Incident,"Drama, Western",8,25951,1942
The Fog of War,"Biography, Documentary, History",8,25649,2003
Day for Night,"Comedy, Drama, Romance",8,25592,1973
Ali: Fear Eats the Soul,"Drama, Romance",8,25034,1974
Manon of the Spring,Drama,8,24840,1986
Silenced,"Crime, Drama, Thriller",8,24772,2011
Karnan,"Action, Drama",8,24418,2021
Taylor Swift: The Eras Tour,"Documentary, Music, Musical",8,24216,2023
A Short Film About Killing,"Crime, Drama",8,23459,1988
Limelight,"Drama, Music, Romance",8,23142,1952
Omkara,"Action, Crime, Drama",8,23029,2006
Crumb,"Biography, Comedy, Documentary",8,22330,1994
The Corporation,"Documentary, History",8,22054,2003
Turtles Can Fly,"Drama, War",8,21580,2004
Manjhi: The Mountain Man,"Biography, Drama",8,20573,2015
Castaway on the Moon,"Comedy, Drama, Romance",8,20384,2009
Honeyland,"Documentary, Drama",8,19981,2019
The Internet's Own Boy: The Story of Aaron Swartz,"Biography, Crime, Documentary",8,18335,2014
