Pelicula,Año de estreno,Ganancia
Sin City: A Dame to Kill For,2014,89833806.61600001
28 Days Later...,2002,427499585.9
Enemy at the Gates,2001,10592547.088
Glory,1989,107005490.63
The Cabin in the Woods,2012,376874251.75
Collateral,2004,17665248.78
The League of Extraordinary Gentlemen,2003,97821656.53999999
Tinker Bell and the Legend of the NeverBeast,2014,110182082.24
Fantastic Mr. Fox,2009,134045644.64999999
American Pie,1999,222491472.10000002
Mr. Popper's Penguins,2011,150047916.96
Shaun of the Dead,2004,209621948.29999998
The Dressmaker,2015,38667822.33
Star Trek: The Motion Picture,1979,127517331.66
The Vow,2012,23194546.409999996
Lone Survivor,2013,188093449.31
The Tree of Life,2011,-4273603.649
Shrek Forever After,2010,32208651.989999995
Entrapment,1999,91909087.343
Scary Movie,2000,3392308.339999998
Journey 2: The Mysterious Island,2012,37165102.807
Memoirs of a Geisha,2005,-7362216.299999999
Rio 2,2014,132084456.72000001
Toy Story 2,1999,218885749.8
Maid in Manhattan,2002,31058626.520000003
Dumb and Dumber To,2014,76906138.07
Nymphomaniac: Vol. I,2013,230417742.39000002
Hancock,2008,62518910.45999999
The Italian Job,2003,37917308.129999995
Blade: Trinity,2004,270019006.69
Species II,1998,118818736.63000001
Dear John,2010,-8187601.379999999
The Jungle Book 2,2003,-8705132.969999999
The Monuments Men,2014,159173376.06
On Her Majesty's Secret Service,1969,-2302727.6270000003
The Paperboy,2012,5580320.520000001
Never Say Never Again,1983,109959318.20000002
For Your Eyes Only,1981,2799433.3400000036
Unbroken,2014,144409753.77
The Break-Up,2006,117818994.5
The Emperor's New Groove,2000,-23572915.869999997
Chicken Little,2005,365846712.96999997
Dallas Buyers Club,2013,119591707.97
The Godfather: Part III,1990,78278034.14999999
Safe,2012,90674908.3
The DUFF,2015,43095923.34
Diamonds Are Forever,1971,-1294989.5410000002
Ladyhawke,1985,34542333.81
Night at the Museum: Battle of the Smithsonian,2009,-11208175.799999997
Breakfast at Tiffany's,1961,9142945.96
Gangs of New York,2002,63391158.8
Inside Man,2006,43693893.809999995
Mad Max Beyond Thunderdome,1985,38535901.83
The Hurt Locker,2008,126445201.95000002
Abraham Lincoln: Vampire Hunter,2012,61603325.69
Paul Blart: Mall Cop 2,2015,44447957.89
Black Hawk Down,2001,17393432.992
17 Again,2009,228971076.79
Frozen Fever,2015,-3130884.2750000004
RED,2010,101874691.06
A Christmas Carol,2009,93182901.06
Rio,2011,-16111247.540000001
Starship Troopers 2: Hero of the Federation,2004,37424311.650000006
Transporter 2,2005,33893924.396
Legally Blonde,2001,32330295.886
Grease,1978,-10964391.54
Panic Room,2002,12967046.120000001
A Knight's Tale,2001,-9169071.786999999
Moonraker,1979,42537300.04
The Abyss,1989,-5430093.333
R.I.P.D.,2013,-13761828.87997
Batman: The Dark Knight Returns Part 1,2012,229143332.86999997
The Terminal,2004,5668939.609999999
Amadeus,1984,16624847.904
The Lovely Bones,2009,1686651.2699999996
Meet the Robinsons,2007,37669703.199999996
Lemony Snicket's A Series of Unfortunate Events,2004,4307455.587
Johnny English,2003,74171254.77000001
License to Drive,1988,-26895645.909999996
Peter Pan,2003,-2425084.4409999996
Garfield,2004,-6429194.3500000015
Scary Movie 3,2003,1688769.7810000004
The Artist,2011,66921086.45
Zookeeper,2011,19800067.970000003
Paul Blart: Mall Cop,2009,-12499215.689000001
Battleship,2012,-921091.051
Beetlejuice,1988,25189088.939999998
The Chronicles of Narnia: Prince Caspian,2008,33622295.57
The Mask,1994,12257536.139999997
Spring Breakers,2013,-15383.140999999829
A Man Apart,2003,-4853546.523
The School of Rock,2003,-7294809.933
The Last Samurai,2003,-2316427.0139999995
Tropic Thunder,2008,-908392.8899999997
The Man with the Golden Gun,1974,42186029.06999999
The Lion King 1Â½,2004,-5512664.54177
Space Jam,1996,1524705.043
Nutty Professor II: The Klumps,2000,-7119383.5326000005
